9	مردی با علایم انسداد روده آمده؛ معاینه بطن او در کدام حالت ناتمام است؟	وقتی مغبن‌ها و فتحه‌های فتق دیده نشده	وقتی اصغا یک دقیقه نشده	وقتی طحال جس نشده	وقتی تست Murphy نشده	الف	معاینه بطن بدون دیدن مغبن‌ها ناتمام است (قانون ۴۰).
9	در پانکریاتیت حاد، سطح لایپیز یا امیلیز چند برابر حد بالای نارمل یکی از معیارها است؟	۱٫۵ برابر	۲ برابر	۳ برابر یا بیشتر	۱۰ برابر	ج	سه برابر حد بالایی یا بیشتر؛ یکی از سه معیار Atlanta که دوتای آن کافی است.
10	مرد ۷۰ ساله با «قولنج کلیوی» چپ برای اولین بار آمده است. پیش از تشخیص قولنج، کدام معاینه ضروری است؟	لمس ابهر بطنی	تست Murphy	معاینه مقعدی	قرع مثانه	الف	ام‌الدم پاره‌شده ابهر ممکن است قولنج کلیوی را تقلید کند (قانون ۴۴).
10	مرد ۳۰ ساله کتله سخت و بی‌درد داخل خصیه دارد. کدام کار ممنوع است؟	الترا ساوند	راجع به یورولوژی	سوزن زدن از راه کیسه خصیه	معاینه عقدات بطن	ج	هرگز از راه کیسه خصیه سوزن یا برش نزنید (قانون ۴۵).
10	در پندیدگی کیسه خصیه، اولین سؤال معاینه کدام است؟	آیا بالای آن می‌رسید؟	آیا روشنی عبور می‌کند؟	آیا درد دارد؟	آیا دوطرفه است؟	الف	اگر بالای پندیدگی نرسید، اکثراً فتق است (شکل ۱۰-۱).
11	مریض سردردی ناگهانی داشته که در چند ثانیه به اوج رسیده و حالا خوب به نظر می‌رسد. برخورد درست؟	دوای درد و رخصت	خونریزی تحت‌العنکبوتیه تا خلافش ثابت شود	میگرن؛ اطمینان	تنها فشار خون را ببینید	ب	سردرد «رعدآسا» حتی با ظاهر خوب خطرناک است (قانون ۴۷).
11	در مریض مشکوک به مننژیت، سختی گردن نیست. کدام جمله درست است؟	مننژیت رد شد	انتی‌بیوتیک را برای یک نشانه معاینه به تأخیر نیندازید	اول CT و بعد فکر کنید	منتظر کلچر بمانید	ب	نبود سختی گردن مننژیت را رد نمی‌کند (قانون ۴۸).
11	کمردرد با بی‌حسی عجان و احتباس ادرار. کار درست؟	استراحت و دوای درد	MRI عاجل برای سندرم ذنب اسپ	فزیوتراپی	انتظار دو هفته	ب	سندرم ذنب اسپ تا خلافش ثابت شود (قانون ۵۱).
12	مرد ۵۰ ساله با زانوی حاد، گرم و پندیده و سابقه نقرس. چه باید کرد؟	کولشیسین و رخصت	کشیدن و بررسی مایع مفصل؛ انتان را رد کنید	تنها عکس	استیروئید داخل مفصل فوری	ب	سابقه نقرس یا نبود تب انتان را رد نمی‌کند (قانون ۵۳).
12	طفل ۸ ساله از درد زانو شکایت دارد و معاینه زانو نارمل است. کدام مفصل را حتماً معاینه کنید؟	شانه	ورک	بجلک	آرنج	ب	درد ورک اکثراً در ران و زانو حس می‌شود (قانون ۵۴).
12	بعد از پلستر ساق، درد مریض با دوا آرام نمی‌شود و نبض هنوز لمس می‌شود. فکر اول؟	درد عادی کسر	سندرم کمپارتمنت	DVT	انتان جلد	ب	منتظر از بین رفتن نبض نباشید (قانون ۵۵).
13	خانم ۳۵ ساله خسته، با نبض ۱۱۰، دست‌های گرم و مرطوب و کاهش وزن. تشخیص محتمل؟	افسردگی	پرکاری تایراید	کم‌خونی	کم‌کاری تایراید	ب	پیش از «فشار روانی»، نبض، دست، وزن و گردن را ببینید (قانون ۵۸).
13	در تست مونوفیلامنت پای دیابتی، حس محافظتی در یک نقطه چه وقت موجود شمرده می‌شود؟	یک جواب درست از سه	دو جواب درست از سه	تنها وقتی درد حس کند	وقتی لرزش را حس کند	ب	در هر نقطه دو بار واقعی و یک بار دروغی؛ دو جواب درست از سه (شکل ۱۳-۱).
13	مریضی با چهره Cushing آمده است. اولین سؤال کدام است؟	سابقه خانوادگی	مصرف استیروئید یا قطع اخیر آن، به شمول دواهای «عنعنوی»	سفر اخیر	رژیم غذایی	ب	شایع‌ترین علت، استیروئید بیرونی است (قانون ۶۱).
14	زخمی در ساق از دو ماه با درمان معمول جور نشده است. قدم بعدی؟	دوره دیگر انتی‌بیوتیک	نمونه‌برداری	مرهم قوی‌تر	انتظار سه ماه دیگر	ب	تشخیص را با دوای بیشتر ثابت نمی‌کنید (قانون ۶۳).
14	پنج روز بعد از شروع یک دوای ضد تشنج، مریض بثورات جلدی با زخم دهن و سرخی چشم دارد. اولین کار؟	انتی‌هیستامین و ادامه دوا	قطع فوری دوا و برخورد عاجل	مرهم استیروئید	دوز را کم کنید	ب	بثورات با زخم مخاط بعد از دوای تازه عاجل است (قانون ۶۵).
14	در مریض بستری طولانی، زخم فشار را چطور پیشگیری می‌کنیم؟	تنها با تشک مخصوص	پشت مریض را هر روز ببینید و وضعیت او را منظم تغییر دهید	با انتی‌بیوتیک	با مرهم روزانه	ب	زخم فشار در شفاخانه ساخته و جلوگیری می‌شود (قانون ۶۷).
15	خانم ۴۵ ساله غده بی‌درد ثدیه دارد. کدام جمله درست است؟	بی‌دردی یعنی بی‌خطر	بی‌دردی آن را نگران‌کننده‌تر می‌سازد؛ تا تشخیص نهایی پیگیری شود	تنها بعد از شش ماه ببینید	تنها الترا ساوند کافی است و پیگیری لازم نیست	ب	غده بی‌درد بیشتر نگران‌کننده است (قانون ۶۸).
15	عقده گردنی بعد از چهار هفته کوچک نشده است. قدم بعدی؟	انتی‌بیوتیک دیگر	نمونه‌برداری	اطمینان	مرهم گرم	ب	عقده‌ای که بعد از چهار هفته کوچک نشده نمونه می‌خواهد (قانون ۷۱).
15	عقده بزرگی در بغل پیدا کردید. کار بعدی کدام است؟	تنها گزارش اندازه	معاینه ساحه‌ای که عقده از آن نگهبانی می‌کند، مثل ثدیه و بازو	فوراً انتی‌بیوتیک	تنها عکس صدر	ب	پیدا کردن عقده آغاز کار است (قانون ۷۲).
16	پیش از ریختن قطره گشادکننده مردمک، کدام کار ضروری است؟	اندازه فشار چشم	نوشتن دقت بینایی هر چشم جداگانه	عکس فوندوس	اجازه خانواده	ب	دقت بینایی را پیش از هر معاینه دیگر بنویسید (قانون ۷۳).
16	چشم سرخ با درد و ترس از روشنی. کدام کار نادرست است؟	راجع به داکتر چشم	قطره استیروئید	اندازه دقت بینایی	دیدن مردمک	ب	در چشم سرخ دردناک قطره استیروئید ندهید (قانون ۷۴).
16	مرد ۷۲ ساله با سردردی تازه و درد فک در جویدن. به کدام تشخیص فکر کنید؟	التهاب شریان صدغی	میگرن	سینوزیت	درد دندان	الف	التهاب شریان صدغی بی‌صدا کور می‌کند (قانون ۷۷).
17	کاهل با کری ناگهانی یک‌طرفه، گوش و پرده نارمل. کدام درست است؟	موم گوش است؛ شستشو	کری حسی‌عصبی تا خلافش ثابت شود؛ عاجل	تنها قطره گوش	انتظار یک ماه	ب	درمان در روزهای اول مؤثرتر است (قانون ۷۸).
17	طفل با تب بلند، آب دهن جاری و تنفس پرصدا نشسته است. کدام کار ممنوع است؟	اکسیجن	معاینه گلو با زبان‌گیر	خبر کردن تیم راه هوایی	نشاندن مریض به وضعیت راحت	ب	اول راه هوایی را محافظت کنید (قانون ۸۱).
17	کاهل با ترشح خونی و بندش بینی تنها در یک طرف و بی‌حسی رخسار. فکر اول؟	سینوزیت ساده	تومور تا خلافش ثابت شود	حساسیت	جسم خارجی	ب	علایم یک‌طرفه بینی در کاهل نگران‌کننده است (قانون ۷۹).
18	خانم ۶۵ ساله از دو روز توهم دیداری دارد. قدم اول؟	دوای ضد روانی	جستجوی علت جسمی یا دوایی (هذیان، انتان، دوا)	راجع به روان‌پزشک تنها	اطمینان به خانواده	ب	توهم دیداری تازه در سالمند اول جسمی است (قانون ۸۴).
18	مریض از ماه‌ها درد جان، سردردی و بی‌خوابی دارد و معاینات نارمل است. برخورد درست؟	«چیزی نیست»	پرسیدن از خواب، خوشی، امید و حوادث زندگی	ویتامین پیچکاری	معاینات بیشتر بی‌پایان	ب	افسردگی در کشور ما اکثراً به زبان جسم حرف می‌زند (قانون ۸۳).
18	خانواده مریض روانی او را برای تعویذ هم می‌برد. برخورد بهتر؟	تحقیر باور خانواده	همراهی با باور و پیشنهاد درمان در کنار آن	قطع درمان	تهدید خانواده	ب	مریضی که خانواده‌اش را از دست بدهد، درمان را هم از دست می‌دهد (قانون ۸۷).
19	خانم حامله ۳۲ هفته با فشار ۱۵۰/۱۰۰، سردردی و تاری دید. تشخیص محتمل؟	میگرن	پره‌اکلامپسی تا خلافش ثابت شود	فشار روانی	سینوزیت	ب	فشار ۱۴۰/۹۰ یا بیشتر بعد از ۲۰ هفته با این علایم (قانون ۸۹).
19	دو ساعت بعد از ولادت، نبض مادر از ۸۵ به ۱۲۰ رسیده اما فشار هنوز ۱۱۰/۷۰ است. کدام جمله درست است؟	فشار نارمل است؛ نگرانی نیست	تکی‌کاردی اولین فریاد خونریزی پنهان است	اضطراب بعد از ولادت است	تنها مایع دهنی بدهید	ب	ضربان قلب را دنبال کنید، نه تنها فشار (قانون ۹۱).
19	خانم حامله با درد شدید بطن و شاک، اما خونریزی مهبلی کم. کدام درست است؟	شاک از خونریزی دیده‌شده نیست؛ علت دیگر بجویید	خون ممکن است پشت جفت، در بطن یا در رحم پنهان باشد	خونریزی کم یعنی خطر کم	تنها دوای درد بدهید	ب	شاک را با مقدار خون دیده‌شده اندازه نکنید (قانون ۹۲).
20	بر اساس FIGO 2018، طول نارمل دوره عادت ماهوار کدام است؟	۱۴ تا ۲۱ روز	۲۱ تا ۲۸ روز	۲۴ تا ۳۸ روز	۳۰ تا ۴۵ روز	ج	۲۴ تا ۳۸ روز؛ مدت خونریزی تا ۸ روز (فصل بیستم).
20	خانم ۴۲ ساله از خونریزی بعد از مقاربت شکایت دارد. فکر اول؟	انتان ساده	سرطان عنق رحم تا نمونه خلافش را ثابت کند	تغییر هورمونی	جراحت کوچک	ب	قانون ۹۵.
20	خانم ۵۸ ساله از دو ماه پُری و پندیدگی بطن در بیشتر روزها دارد. به کدام فکر کنید؟	گاز معده	سرطان تخمدان	سوءهاضمه	قبضیت	ب	آن را «گاز معده» ننامید (قانون ۹۶).
21	طفل ۱۸ ماهه با اسهال. کدام کار درست است؟	قطع شیر مادر	ORS و زنک، و ادامه شیر دادن	انتی‌بیوتیک برای همه	سیروم برای همه	ب	وزن کنید، آب بدهید و شیر دادن را قطع نکنید (قانون ۹۹).
21	نوزاد ۵ روزه حرارت ۳۵ درجه دارد و بی‌حال است. کدام جمله درست است؟	سردی خطر ندارد	سردی در نوزاد به اندازه تب خطرناک است؛ گرم کنید و به انتان فکر کنید	تنها لباس بیشتر	فردا دوباره ببینید	ب	قانون ۱۰۱.
21	پیش از دادن مایعات وریدی زیاد به یک طفل، کدام حالت را باید رد کرد؟	سوءتغذیه شدید	تب	کم‌خونی خفیف	حساسیت	الف	قلب طفل بسیار لاغر مایعات زیاد را تحمل نمی‌کند (قانون ۱۰۲).
22	مرد ۷۸ ساله دو بار در یک ماه افتاده است. کدام برخورد درست است؟	تصادف است	افتادن یک علامه است؛ دوا، افت فشار ایستاده، ریتم، ضعف و دید را بررسی کنید	تنها عصا	تنها ویتامین D	ب	قانون ۱۰۵.
22	خانم ۸۰ ساله با تنگی نفس ناگهانی و ضعف، بدون درد صدر. کدام تست را فراموش نکنید؟	ECG	تست ادرار تنها	عکس زانو	تست تایراید تنها	الف	حمله قلبی در این عمر اکثراً بی‌درد است (قانون ۱۰۶).
22	در یک سالمند، پیش از شروع دوای تازه، کدام سؤال مهم است؟	«آیا ارزان است؟»	«آیا این علامه اثر یک دوای دیگر است؟»	«آیا تابلیت کوچک است؟»	«آیا خانواده موافق است؟»	ب	زنجیره دواها را بشکنید (قانون ۱۰۷).
23	مریض بدحال ناگهان بی‌قرار شده است. پیش از آرام‌بخش، کدام را بسنجید؟	اکسیجن، قند خون، فشار خون و مثانه	تنها حرارت	تنها الکترولیت	تنها وزن	الف	آرام‌بخش به مریض کم‌اکسیجن ممکن است کشنده باشد (قانون ۱۰۸).
23	مریض بیهوش با مردمک‌های بسیار تنگ و ترشحات زیاد دهن و شش. فکر اول و درمان؟	اوپیوئید؛ نالوکسون	ارگانوفاسفات؛ اتروپین	سکته پونز؛ CT	کمی قند؛ گلوکوز	ب	قانون ۱۱۰.
23	در درمان ارگانوفاسفات با اتروپین، هدف کدام است؟	گشاد شدن مردمک	خشک شدن شش‌ها	نبض بالای ۱۵۰	خواب مریض	ب	مردمک را معیار نگیرید (قانون ۱۱۲).
24	مرد تب‌دار با خونریزی لثه، دو هفته بعد از عید قربان و ذبح حیوان. کدام درست است؟	دینگی	تب کریمه‌کانگو؛ اول خود را محافظت کنید	انفلونزا	ملاریا تنها	ب	قانون ۱۱۴.
24	مریض با پندیدگی هر دو پا. پیش از ادرارآور، چه ببینید؟	ورید گردن، ادرار و فهرست دواها	تنها وزن	تنها البومین	تنها عکس صدر	الف	ادرارآور علت را درمان نمی‌کند (قانون ۱۱۶).
24	مرد ۶۵ ساله با درد پاره‌کننده صدر که به پشت می‌رود و فرق فشار میان دو بازو. کدام کار را پیش از رد کردن تشخیص نکنید؟	ECG	دادن ضد تخثر یا ترومبولیتیک	اندازه فشار	دوای درد	ب	انشقاق ابهر را پیش از ضد تخثر رد کنید (قانون ۱۱۸).
25	حد نارمل عرض QRS کدام است؟	کمتر از ۰٫۰۸ ثانیه	کمتر از ۰٫۱۲ ثانیه	۰٫۱۲ تا ۰٫۲۰ ثانیه	بیشتر از ۰٫۲۰ ثانیه	ب	QRS پهن یعنی ۰٫۱۲ ثانیه یا بیشتر (فصل بیست‌وپنجم).
25	در حمله قلبی دیواره پایینی، پیش از نایتروگلیسرین چه باید کرد؟	هیچ	لیدهای طرف راست (V4R) و فشار خون	تنها تروپونین	اکوکاردیوگرافی	ب	بطین راست گرفتار با یک تابلیت فشار را می‌اندازد (قانون ۱۲۰).
25	مریض دیالیزی با T نوک‌تیز و QRS پهن. قدم اول؟	انتظار جواب پتاسیم	کلسیم وریدی برای حفاظت قلب، بدون انتظار	تنها ادرارآور	تنها ECG تکراری فردا	ب	قانون ۱۲۳.
26	پیش از اولین غذا از تیوب معده تازه، چه باید کرد؟	هیچ	تأیید جای تیوب	تنها شستشو با آب	تنها معاینه بطن	ب	تیوب معده در شش ساکت است تا شیر در آن ریخته شود (قانون ۱۲۸).
26	مریض با سرفه سه‌هفته‌ای؛ عکس صدر پاک است. کار درست؟	سل رد شد	بلغم برای Xpert بفرستید	تنها شربت سرفه	تنها انتی‌بیوتیک	ب	یک عکس پاک سل را رد نمی‌کند (قانون ۱۲۷).
26	بعد از خواندن عکس صدر، کدام نواحی را یک دور دیگر ببینید؟	تنها قلب	قله‌ها، پشت قلب، ناف شش‌ها و زیر دیافراگم	تنها قبرغه‌ها	تنها نام و تاریخ	ب	این ده ثانیه ارزان‌ترین بیمه است (قانون ۱۲۶).
27	پیش از فرستادن هر تست لابراتوار، کدام سؤال را بپرسید؟	«ارزان است؟»	«جواب این تست تصمیم مرا چطور تغییر می‌دهد؟»	«مریض می‌خواهد؟»	«لابراتوار باز است؟»	ب	اگر جوابی ندارید، شاید به تست ضرورت ندارید (قانون ۱۳۰).
27	خانم ۸۵ ساله لاغر کریاتینین نارمل دارد. کدام جمله درست است؟	وظیفه کلیه حتماً نارمل است	کریاتینین نارمل در عضله کم، کلیه نارمل را ثابت نمی‌کند	دوز دواها لازم به اصلاح نیست	کریاتینین همیشه دقیق است	ب	کریاتینین از عضله می‌آید (قانون ۱۳۲).
27	سالمند پریشان بدون تب و بدون علایم ادراری، تست ادرار مثبت دارد. کدام درست است؟	انتان ادرار علت پریشانی است	اول کم‌آبی، دواها، قند، سودیم، درد و قبضیت را ببینید	فوراً انتی‌بیوتیک	پریشانی از پیری است	ب	باکتری بی‌علامه در ادرار سالمند شایع است (قانون ۱۳۵).
