آبسه آمیبی کبد	Amoebic liver abscess
صدر بیرل مانند	Barrel chest
صدر خاموش	Silent chest
صدر قیف مانند	Pectus excavatum
صرع	Epilepsy
صعود سگمنت ST	ST elevation
صلبیه	Sclera
صیوان	Pinna
ضخامه	Enlargement / Hypertrophy
ضربان‌های اکتوپیک	Ectopic beats
ضفیره عضدی	Brachial plexus
ضلع رقبی	Cervical rib
ضیاع مکمل احساس بو	Anosmia
طبلی	Tympanitic
طحال	Spleen
طرز ایستادن	Stance
طرز راه رفتن	Gait
عدم تعرق	Anhidrosis
عدم کفایه	Incompetence / Regurgitation (valve); Failure (organ)
عدم کفایه ابهر	Aortic incompetence
عدم کفایه مایترل	Mitral incompetence
عسرت بلع	Dysphagia
عسرت تنفس	Dyspnoea
عقدات لمفاوی	Lymph nodes
عکسات	Reflexes
عکسات وتری	Tendon reflexes
عکسه روشنی	Light reflex
عکسه عینی دهلیزی	Oculovestibular reflex
عکسه قرنی	Corneal reflex
عکسه همخوانی	Consensual reflex
عکسه چنگ زدن	Grasp reflex
غشای طبل	Tympanic membrane
غور رحم (فندس)	Uterine fundus
فایبروز	Fibrosis
فبریلیشن اذینی	Atrial fibrillation
فبریلیشن بطینی	Ventricular fibrillation
فرج	Vulva
فرط فشار خون	Hypertension
فرط فشار ورید باب	Portal hypertension
فرط مقویت	Hypertonia
فرورفتن قسمت سفلی صدر	Chest indrawing
فقدان شعور	Unconsciousness
فلاتر اذینی	Atrial flutter
فلج بصلی کاذب	Pseudobulbar palsy
فلج بل	Bell's palsy
فلج دماغی	Cerebral palsy
فوهات فتقیه	Hernial orifices
قبض	Flexion
قدرت عضلات	Muscle power
قرع	Percussion
قشر دماغ	Cerebral cortex
قص	Sternum
قلب راست‌جا	Dextrocardia
قنات شریانی باز	Patent ductus arteriosus
قوس ابهر	Aortic arch
قوقعه	Cochlea
لب‌های غنچه	Pursed lips
لکنت زبان	Stammering
لکه‌های نزفی	Haemorrhagic spots
لیدهای اندام‌ها	Limb leads
لیدهای تقویت شده	Augmented leads
لیدهای صدری	Chest leads
مانور تقویت	Reinforcement (Jendrassik)
مایع داخل جوف پریتوان	Ascites
مایع منوی	Semen
محور قلبی	Cardiac axis
مخیخ	Cerebellum
مرض ریه دهقان	Farmer's lung
مرمر	Murmur
مسافات بین الضلعی	Intercostal spaces
معاینه حوصلی دودستی	Bimanual pelvic examination
معاینه سیستمیک	Systemic examination
معاینه مهبلی	Vaginal examination
مقویت عضلی	Muscle tone
منصف	Mediastinum
منظره عمومی	General appearance
منظره مرمی توپ	Cannon-ball appearance
منظره چوب طبل انگشتان	Clubbing
مهبل	Vagina
مواد غایطه	Stool
موجودیت خون در استفراغ	Haematemesis
موجودیت خون در بلغم	Haemoptysis
ناحیه انفی‌بلعومی	Nasopharynx
ناخن قاشقی	Koilonychia
ناشنوایی انتقالی	Conductive deafness
ناشنوایی حسی عصبی	Sensorineural deafness
ناهماهنگی حرکی	Ataxia
نبض	Pulse
نبض وریدی	Venous pulse
نبض کعبری	Radial pulse
نخاع شوکی	Spinal cord
نشانه‌های خطر	Red flags
نقرس	Gout
نوع چاقوی ضامن‌دار	Clasp-knife rigidity
نوع چرخ دندانه‌دار	Cogwheel rigidity
نیورون حرکی سفلی	Lower motor neurone (LMN)
نیورون حرکی علوی	Upper motor neurone (UMN)
نیوروپاتی محیطی	Peripheral neuropathy
هایپرتروفی بطینی	Ventricular hypertrophy
هماهنگی حرکات	Coordination
وجه مهتابی	Moon face
وضاحت صوتی	Vocal resonance
پدیده برگشت	Rebound phenomenon
پرولپس دسام مایترل	Mitral valve prolapse
پنوموتوراکس	Pneumothorax
پنوموتوراکس فشاری	Tension pneumothorax
چشمان برجسته	Exophthalmos
کانال‌های نیم‌دایروی	Semicircular canals
کبد	Liver
کتله	Mass
کرختی یا سوزن‌سوزن شدن	Paraesthesia
کله‌چرک	Mumps
کم شدن ارتجاعیت جلد	Reduced skin turgor
کم‌آبی	Dehydration
کهف	Cavity
کیسه صفرا	Gallbladder
کیمیای خون	Blood chemistry
گواتر توکسیک	Toxic goitre
یرقان	Jaundice
