dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,source_authority,usage_notes,first_appearance
رسم برقی قلب,Electrocardiogram,,ECG,رسم برقی قلب (ECG),نوار قلب,Afghan clinical practice,ECG universally written and spoken,02-cardiovascular
سیروز کبد,Liver Cirrhosis,,Cirrhosis,سیروز کبد (Liver Cirrhosis),,Afghan clinical practice,Cirrhosis used with Dari explanation,04-gastroenterology
بروسلوز,Brucellosis,,Brucellosis,بروسلوز یا تب مالتا (Brucellosis),تب مالت,Afghan infectious diseases clinic,Common endemic disease in Afghanistan,01-infectious
توبرکلوز,Tuberculosis,,TB,توبرکلوز (Tuberculosis - TB),,Afghan NTP & MoPH standard,National TB Program standard terminology,01-infectious
محرقه,Typhoid / Enteric Fever,,Typhoid,محرقه یا تب تیفوئید (Typhoid Fever),,Afghan clinical usage,Widely understood endemic clinical term,01-infectious
صالون عملیات,Operating Theatre,,OT,صالون عملیات (Operating Room),اتاق عمل,Afghan hospital administrative term,Standard in Afghan hospitals,00-frontmatter
استسقاء,Ascites,,Ascites,استسقاء یا اسایتس (Ascites),,Afghan clinical medicine,Peritoneal fluid accumulation,04-gastroenterology
انثقاب,Perforation,,Perforation,انثقاب (Perforation),سوراخ شدن,Afghan surgical & medical terminology,Viscus rupture or perforation,04-gastroenterology
تطبیق وریدی,Intravenous administration,,IV,تطبیق وریدی (IV),تزریق وریدی,Afghan clinical pharmacology,IV route standard,00-frontmatter
تطبیق عضلی,Intramuscular administration,,IM,تطبیق عضلی (IM),تزریق عضلانی,Afghan clinical pharmacology,IM route standard,00-frontmatter
فمی / دهانی,Oral administration,,PO,فمی یا دهانی (Oral / PO),خوراکی,Afghan clinical pharmacology,PO route standard,00-frontmatter
تحت جلدی,Subcutaneous administration,,SC,تحت جلدی (Subcutaneous / SC),تزریق زیرپوستی,Afghan clinical pharmacology,SC route standard,00-frontmatter
تابلت,Tablet,,Tab,تابلت (Tablet),قرص,Afghan pharmacy and clinical usage,Standard oral solid form,00-frontmatter
سیروم,IV Infusion / Fluid,,IV Fluid,سیروم وریدی (IV Infusion),سرم,Afghan clinical nursing & medical practice,Normal Saline / Ringer / Dextrose,00-frontmatter
اختلاط,Complication,,Comp,اختلاط (Complication),پیامد;عارضه جانبی,Afghan medical faculties,Plural is اختلاطات (Complications),00-frontmatter
اعراض,Symptoms,,Sx,اعراض (Symptoms),,Afghan clinical methods standard,Subjective complaints reported by patient,00-frontmatter
علایم,Signs,,Signs,علایم (Signs),نشانه‌های بالینی,Afghan clinical methods standard,Objective findings discovered by physician,00-frontmatter
اهتمامات,Management,,Management,اهتمامات کلینیکی (Management),اقدامات درمانی,Afghan clinical medicine,Comprehensive diagnostic & therapeutic approach,00-frontmatter
پتوفزیولوژی,Pathophysiology,,Pathophysiology,پتوفزیولوژی (Pathophysiology),,Afghan university standard,Standard biological mechanism term,00-frontmatter
پروگنوز,Prognosis,,Prognosis,پروگنوز (Prognosis),پیش‌آگهی,Afghan clinical medicine standard,Disease outlook and expected trajectory,00-frontmatter
هایپرتینشن,Hypertension,,HTN,هایپرتینشن (Hypertension),فشارخون,Afghan clinical practice,Frequently used interchangeably with فشار بلند خون,02-cardiovascular
دیابت شیرین,Diabetes Mellitus,,DM,دیابت شیرین (Diabetes Mellitus),بیماری قند,Afghan MoPH & Endocrine society standard,ADA guidelines compliant,06-endocrinology
کیتواسیدوز دیابتیک,Diabetic Ketoacidosis,,DKA,کیتواسیدوز دیابتیک (DKA),,Afghan critical care standard,Acute hyperglycemic emergency,06-endocrinology
سپسیز,Sepsis,,Sepsis,سپسیز (Sepsis),,Surviving Sepsis Campaign standard,Life-threatening organ dysfunction,01-infectious
شوک سپتیک,Septic Shock,,Septic Shock,شوک سپتیک (Septic Shock),,Surviving Sepsis Campaign standard,Distributive shock refractory to fluids,01-infectious
انافلاکسی,Anaphylaxis,,Anaphylaxis,انافلاکسی (Anaphylaxis),شوکه آلرژیک,Severe systemic type I hypersensitivity,Emergency epinephrine protocol,10-emergencies-toxicology
احیای مجدد قلبی‌ریوی,Cardiopulmonary Resuscitation,,CPR,احیای مجدد قلبی‌ریوی (CPR),,AHA/ERC guidelines standard,Basic & advanced life support,10-emergencies-toxicology
کانسولیدیشن,Consolidation,,Consolidation,تکاثف یا کانسولیدیشن (Consolidation),,Afghan pulmonary medicine,Lung parenchymal density on CXR/exam,03-respiratory
افیوژن جنبی,Pleural Effusion,,Pleural Effusion,افیوژن جنبی (Pleural Effusion),آب آوردن ریه,Afghan pulmonary medicine,Fluid in pleural space,03-respiratory
پنوموتوراکس,Pneumothorax,,Pneumothorax,پنوموتوراکس (Pneumothorax),سوراخ شدن ریه,Afghan emergency & pulmonary medicine,Air in pleural cavity,03-respiratory
برانشکتازی,Bronchiectasis,,Bronchiectasis,برانشکتازی (Bronchiectasis),,Afghan pulmonary medicine,Permanent airway dilation,03-respiratory
سندروم نفروتیک,Nephrotic Syndrome,,Nephrotic Syn,سندروم نفروتیک (Nephrotic Syndrome),,KDIGO guidelines standard,Proteinuria >3.5g/24h with edema,05-nephrology
سندروم نفریتیک,Nephritic Syndrome,,Nephritic Syn,سندروم نفریتیک (Nephritic Syndrome),,KDIGO guidelines standard,Hematuria with HTN and RBC casts,05-nephrology
هایپوکلیمی,Hypokalemia,,Hypokalemia,هایپوکلیمی (Hypokalemia),,Electrolyte disorder,Serum K < 3.5 mEq/L,05-nephrology
هایپرکلیمی,Hyperkalemia,,Hyperkalemia,هایپرکلیمی (Hyperkalemia),,Electrolyte disorder,Serum K > 5.0 mEq/L,05-nephrology
هایپوناتریمی,Hyponatremia,,Hyponatremia,هایپوناتریمی (Hyponatremia),,Electrolyte disorder,Serum Na < 135 mEq/L,05-nephrology
هایپرناتریمی,Hypernatremia,,Hypernatremia,هایپرناتریمی (Hypernatremia),,Electrolyte disorder,Serum Na > 145 mEq/L,05-nephrology
روماتوئید ارتریت,Rheumatoid Arthritis,,RA,روماتوئید ارتریت (Rheumatoid Arthritis),,ACR/EULAR standard,Symmetric inflammatory polyarthritis,08-rheumatology
لوپوس اریتماتوز سیستمیک,Systemic Lupus Erythematosus,,SLE,لوپوس اریتماتوز سیستمیک (SLE),,ACR/EULAR standard,Autoimmune multiorgan disease,08-rheumatology
سکته مغزی اسکیمیک,Ischemic Stroke,,Stroke,سکته مغزی اسکیمیک (Ischemic Stroke),سکته مغزی انسدادی,AHA/ASA guidelines standard,Acute focal neurological deficit,09-neurology
خونریزی تحت عنکبوتیه,Subarachnoid Hemorrhage,,SAH,خونریزی تحت عنکبوتیه (SAH),,AHA/ASA guidelines standard,Thunderclap headache,09-neurology
حالت صرعی مداوم,Status Epilepticus,,SE,حالت صرعی مداوم (Status Epilepticus),,Neurocritical care standard,Prolonged seizure >5 min,09-neurology
میاستنی گراویس,Myasthenia Gravis,,MG,میاستنی گراویس (Myasthenia Gravis),,Neuromuscular junction disorder,Fatigable muscle weakness,09-neurology
سندروم گیلن باره,Guillain-Barré Syndrome,,GBS,سندروم گیلن باره (GBS),,Peripheral neuropathy,Ascending symmetric flaccid paralysis,09-neurology
مرض پارکینسون,Parkinson's Disease,,PD,مرض پارکینسون (Parkinson's Disease),,Movement disorder standard,Tremor, rigidity, bradykinesia,09-neurology
کولانژیت صاعد,Ascending Cholangitis,,Cholangitis,کولانژیت صاعد (Ascending Cholangitis),,Tokyo guidelines standard,Charcot triad / Reynolds pentad,04-gastroenterology
پانکراتیت حاد,Acute Pancreatitis,,Pancreatitis,پانکراتیت حاد (Acute Pancreatitis),,Atlanta criteria standard,Lipase >3x ULN with epigastric pain,04-gastroenterology
پیلونفریت حاد,Acute Pyelonephritis,,Pyelonephritis,پیلونفریت حاد (Acute Pyelonephritis),,Infectious urology standard,Upper UTI with fever & CVA tenderness,05-nephrology
طوفان تایراید,Thyroid Storm,,Thyroid Storm,طوفان تایراید (Thyroid Storm),,ATA guidelines standard,Life-threatening thyrotoxic crisis,06-endocrinology
کوما مایکسیدیما,Myxedema Coma,,Myxedema Coma,کوما مایکسیدیما (Myxedema Coma),,ATA guidelines standard,Life-threatening severe hypothyroidism,06-endocrinology
بحران ادیسونی,Adrenal Crisis,,Adrenal Crisis,بحران ادیسونی (Adrenal Crisis),,Endocrine society standard,Acute cortisol deficiency shock,06-endocrinology
انمی فقر آهن,Iron Deficiency Anemia,,IDA,انمی فقر آهن (Iron Deficiency Anemia),,Microcytic hypochromic anemia,Ferritin < 30 ng/mL,07-hematology
پورپورای ترومبوتیک ترومبوسیتوپنیک,Thrombotic Thrombocytopenic Purpura,,TTP,پورپورای ترومبوتیک ترومبوسیتوپنیک (TTP),,Hematologic emergency,ADAMTS13 deficiency pentad,07-hematology
انعقاد داخل وعایی منتشره,Disseminated Intravascular Coagulation,,DIC,انعقاد داخل وعایی منتشره (DIC),,ISTH criteria standard,Consumptive coagulopathy,07-hematology
مولتیپل مایلوما,Multiple Myeloma,,MM,مولتیپل مایلوما (Multiple Myeloma),,IMWG criteria standard,CRAB criteria positive,07-hematology
اسپوندیلیت انکیلوزان,Ankylosing Spondylitis,,AS,اسپوندیلیت انکیلوزان (Ankylosing Spondylitis),,ASAS criteria standard,Axial spondyloarthritis,08-rheumatology
نقرس,Gout,,Gout,نقرس (Gout),,ACR/EULAR standard,Monosodium urate crystal arthritis,08-rheumatology
ارتریت سپتیک,Septic Arthritis,,Septic Arthritis,ارتریت سپتیک (Septic Arthritis),,Orthopedic & rheumatology emergency,Synovial fluid WBC > 50,000/uL,08-rheumatology
مسمومیت با ارگانوفاسفره‌ها,Organophosphate Poisoning,,OP Poisoning,مسمومیت با ارگانوفاسفره‌ها (OP Poisoning),,Clinical toxicology standard,SLUDGE & DUMBELS toxidrome,10-emergencies-toxicology
مسمومیت با پاراستامول,Paracetamol / Acetaminophen Toxicity,,APAP Toxicity,مسمومیت با پاراستامول (Paracetamol Toxicity),,Clinical toxicology standard,Rumack-Matthew nomogram & NAC,10-emergencies-toxicology
مسمومیت با اپیوئیدها,Opioid Toxicity,,Opioid Toxicity,مسمومیت با مواد مخدر / اپیوئیدها (Opioid Toxicity),,Emergency medicine standard,Naloxone titration protocol,10-emergencies-toxicology
بحران هایپرتینسیو,Hypertensive Emergency,,HTN Emergency,بحران هایپرتینسیو (Hypertensive Emergency),بحران فشارخون,Cardiology emergency standard,BP >180/120 with target organ damage,02-cardiovascular
فیبریلیشن دهلیزی,Atrial Fibrillation,,AFib,فیبریلیشن دهلیزی (Atrial Fibrillation),,AHA/ESC guidelines standard,Irregularly irregular rhythm,02-cardiovascular
تاکیکاردی بطنی,Ventricular Tachycardia,,VT,تاکیکاردی بطنی (Ventricular Tachycardia),,AHA/ACLS standard,Wide complex tachycardia,02-cardiovascular
سندروم دیسترس حاد تنفسی,Acute Respiratory Distress Syndrome,,ARDS,سندروم دیسترس حاد تنفسی (ARDS),,Berlin definition standard,PaO2/FiO2 <= 300 with bilateral infiltrates,03-respiratory
قرحه هضمیه خونریزی‌دهنده,Bleeding Peptic Ulcer,,Bleeding PUD,قرحه هضمیه خونریزی‌دهنده (Bleeding PUD),,Forrest classification standard,Upper GI bleeding protocol,04-gastroenterology
پریتونیت باکتریایی خودبخودی,Spontaneous Bacterial Peritonitis,,SBP,پریتونیت باکتریایی خودبخودی (SBP),,AASLD/EASL criteria standard,Ascitic fluid PMN >= 250/mm3,04-gastroenterology
انسفالوپاتی کبدی,Hepatic Encephalopathy,,HE,انسفالوپاتی کبدی (Hepatic Encephalopathy),,West Haven criteria standard,Ammonia elevation with neuro symptoms,04-gastroenterology
سندروم هپاتورینال,Hepatorenal Syndrome,,HRS,سندروم هپاتورینال (Hepatorenal Syndrome),,ICA criteria standard,Renal failure in cirrhosis without shock,04-gastroenterology
بیمارستان,Hospital,,,شفاخانه,بیمارستان,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
بیمار,Patient,,,مریض,بیمار,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
پزشک,Physician,,,داکتر,پزشک,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
درمان,Treatment,,,تداوی,درمان,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
دارو,Medication,,,دوا,دارو,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
درمانگاه,Clinic,,,کلینیک,درمانگاه,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
آزمایشگاه,Laboratory,,,لابراتوار,آزمایشگاه,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
درصد,Percentage,,,فیصد,درصد,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
اورژانس,Emergency,,,عاجل,اورژانس,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
پرستار,Nurse,,,نرس,پرستار,Forbidden Iranian-Persian term,Never use in Afghan medical texts,00-frontmatter
دیورتیک,Diuretic,,Diuretic,دیورتیک (Diuretic),,Afghan clinical usage,"Loop/thiazide/K-sparing. Furosemide, HCTZ, Spironolactone.",12-hypertension
بتابلکر,Beta-blocker,,BB,بتابلکر (Beta-blocker),,Afghan clinical usage,Carvedilol, Bisoprolol, Metoprolol, Atenolol,12-hypertension
انژیوادم,Angioedema,,Angioedema,انژیوادم (Angioedema),,Afghan clinical usage,ACEI-related risk,12-hypertension
کاردیومیوپاتی,Cardiomyopathy,,CM,کاردیومیوپاتی (Cardiomyopathy),,Afghan clinical usage,Dilated/Hypertrophic/Restrictive,13-heart-failure
درمه‌ای,Valvular,,Valvular,درمه‌ای (Valvular),,Afghan clinical usage,Valvular heart disease,13-heart-failure
درمه,Valve,,Valve,درمه (Valve),,Afghan clinical usage,"Mitral, Aortic, Tricuspid, Pulmonic",13-heart-failure
ایکوکاردیوگرافی,Echocardiography,,Echo,ایکوکاردیوگرافی (Echo),,Afghan clinical usage,TTE/TEE,13-heart-failure
تاکیکاردی,Tachycardia,,Tachy,تاکیکاردی (Tachycardia),,Afghan clinical usage,HR > 100,13-heart-failure
برادی‌کاردی,Bradycardia,,Brady,برادی‌کاردی (Bradycardia),,Afghan clinical usage,HR < 60,13-heart-failure
کاردیورنل,Cardiorenal,,CR,کاردیورنل (Cardiorenal),,Afghan clinical usage,Cardiorenal syndrome,13-heart-failure
دیورتیک لوپ,Loop Diuretic,,Loop,دیورتیک لوپ (Loop Diuretic),,Afghan clinical usage,Furosemide/Bumetanide/Torsemide,13-heart-failure
دیورتیک تازید,Thiazide Diuretic,,Thiazide,دیورتیک تازید (Thiazide),,Afghan clinical usage,HCTZ/Chlorothiazide,12-hypertension
دیورتیک پتاسیم-سپارینگ,K-sparing Diuretic,,K-sparing,دیورتیک پتاسیم-سپارینگ (K-sparing),,Afghan clinical usage,Spironolactone/Eplerenone/Amiloride,13-heart-failure
آنتی‌کواگولاسیون,Anticoagulation,,AC,آنتی‌کواگولاسیون (Anticoagulation),,Afghan clinical usage,Warfarin/DOAC,16-arrhythmia
واکنش آلرژیک,Allergic Reaction,,Allergy,واکنش آلرژیک (Allergic Reaction),,Afghan clinical usage,Urticaria/Anaphylaxis,80-burns-anaphylaxis
عفونت,Infection,,Inf,انتان (Infection),عفونت,Iranian term - avoid,Use انتان in Afghan texts,00-frontmatter
بیماری,Disease,,Disease,امراض (Diseases),بیماری,Iranian term - avoid,Use امراض/مرض in Afghan texts,00-frontmatter
بیمارستان,Hospital,,Hosp,شفاخانه (Hospital),بیمارستان,Iranian term - avoid,Use شفاخانه in Afghan texts,00-frontmatter
درمان,Treatment,,Rx,تداوی (Treatment),درمان,Iranian term - avoid,Use تداوی in Afghan texts,00-frontmatter
دارو,Medication,,Med,دوا (Medication),دارو,Iranian term - avoid,Use دوا/دواها in Afghan texts,00-frontmatter
بیمار,Patient,,Pt,مریض (Patient),بیمار,Iranian term - avoid,Use مریض in Afghan texts,00-frontmatter
پزشک,Physician,,Dr,داکتر (Physician),پزشک,Iranian term - avoid,Use داکتر in Afghan texts,00-frontmatter
آزمایشگاه,Laboratory,,Lab,لابراتوار (Laboratory),آزمایشگاه,Iranian term - avoid,Use لابراتوار in Afghan texts,00-frontmatter
پرستار,Nurse,,RN,نرس (Nurse),پرستار,Iranian term - avoid,Use نرس in Afghan texts,00-frontmatter
درصد,Percentage,%,%,فیصد (Percentage),درصد,Iranian term - avoid,Use فیصد in Afghan texts,00-frontmatter
اورژانس,Emergency,,ED,عاجل (Emergency),اورژانس,Iranian term - avoid,Use عاجل/بخش عاجل in Afghan texts,00-frontmatter
سودیم,Sodium,Natrium,Na,سودیم,سدیم,Afghan clinical usage,PROVISIONAL — pending professional Afghan usage review (user directive 2026-09). Electrolyte term,04-labs
ادیما,Oedema,,,ادیما,ادم,Afghan clinical usage,PROVISIONAL — pending professional Afghan usage review (user directive 2026-09). Swelling; keep standalone word only,01-approach
سندروم,Syndrome,,,سندروم,سیندرم|سیندر,Afghan clinical usage,PROVISIONAL — pending professional Afghan usage review (user directive 2026-09).,01-approach
عدم کفایه,Failure / Insufficiency,,,عدم کفایه,نارسایی,Afghan clinical usage,PROVISIONAL — pending professional Afghan usage review (user directive 2026-09). Organ failure,05-cardio-approach
حلقهٔ معیوب,Vicious cycle,,,حلقهٔ معیوب,حلقه فاصله‌دار,Editorial correction,PROVISIONAL — pending professional Afghan usage review (user directive 2026-09). Mistranslation found in audit,07-heart-failure
انثقاب,Perforation,,,انثقاب (Perforation),,Afghan clinical usage,PROVISIONAL — FOR GLOSSARY AUDIT (introduced ch33),33-ibd
توسع توکسیک کولون,Toxic megacolon,,,توسع توکسیک کولون (Toxic megacolon),,Afghan clinical usage,PROVISIONAL — FOR GLOSSARY AUDIT (introduced ch33),33-ibd
عدم کفایهٔ دریچه,Valvular insufficiency / Regurgitation,,,عدم کفایهٔ دریچه,,Afghan clinical usage (ch05),ACCEPTED (author decision 2026-09-25); Tricuspid = ترایکسپید (APPROVED),05-cardio-approach
ترایکسپید,Tricuspid,,,ترایکسپید,تریکوسپید|تریکسپید,Author-approved terminology correction (2026-09-25),Approved Afghan form for Tricuspid (valve; cavo-tricuspid isthmus),05-cardio-approach
مرمر,Heart murmur,,,مرمر,سوفل؛ وزش,Afghan clinical usage,«مرمر (Murmur)» برای صدای جریان قلبی؛ برای صدای شریانی Bruit. تصمیم ۲۰۲۶-۰۹-۲۵,05-cardio-approach
